nombre,sexo,url,url_original,foto_local,foto_cdn,foto_credito,partido,periodo,periodo_tiempo,orden_destacado,estado,distrito,fecha_nacimiento,imagen_seo,,,,
Contreras Duarte Laura Patricia,1,contreras-duarte-laura-patricia,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=34,diputados-federales/LXV-legislatura/contreras-duarte-laura-patricia.jpg,https://live.staticflickr.com/65535/52021449850_8076f93b7e_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/412_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,6,Dtto. 6,17/agosto/1981,https://live.staticflickr.com/65535/52026511347_10fe7c7509_b.jpg,,,,
Cordero González Wendy Maricela,1,cordero-gonzalez-wendy-maricela,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=189,diputados-federales/LXV-legislatura/cordero-gonzalez-wendy-maricela.jpg,https://live.staticflickr.com/65535/52020974218_06e3de7516_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/493_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,19,Dtto. 3,2/febrero/1991,https://live.staticflickr.com/65535/52027590303_7853900300_b.jpg,,,,
Creel Miranda Santiago,0,creel-miranda-santiago,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=424,diputados-federales/LXV-legislatura/creel-miranda-santiago.jpg,https://live.staticflickr.com/65535/52021449855_824a6d0c4c_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/042_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,7,Circ. 4,11/diciembre/1954,https://live.staticflickr.com/65535/52027554961_96ddb05a59_b.jpg,,,,
Díaz Villalón Erika de los Ángeles,1,diaz-villalon-erika-de-los-angeles,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=424,diputados-federales/LXV-legislatura/diaz-villalon-erika-de-los-angeles.jpg,https://live.staticflickr.com/65535/52021187604_80e4249569_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/445_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,22,Dtto. 5,29/junio/1972,https://live.staticflickr.com/65535/52027554881_0f1f4520f9_b.jpg,,,,
Escudero Fabre María del Carmen,1,escudero-fabre-maria-del-carmen,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=382,diputados-federales/LXV-legislatura/escudero-fabre-maria-del-carmen.jpg,https://live.staticflickr.com/65535/52021449880_e7909f5af2_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/459_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,30,Circ. 3,25/julio/1969,https://live.staticflickr.com/65535/52028066720_92e68dafee_b.jpg,,,,
Espadas Galván Jorge Arturo,0,espadas-galvan-jorge-arturo,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=85,diputados-federales/LXV-legislatura/espadas-galvan-jorge-arturo.jpg,https://live.staticflickr.com/65535/52019892087_1d1df575e8_z.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/035_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,12,Dtto. 11,8/septiembre/1975,https://live.staticflickr.com/65535/52027552951_04a5feff7c_b.jpg,,,,
Esquivel Arrona Ana Maria,1,esquivel-arrona-ana-maria,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=80,diputados-federales/LXV-legislatura/esquivel-arrona-ana-maria.jpg,https://live.staticflickr.com/65535/52020931961_346f294b81_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/444_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,12,Dtto. 6,14/septiembre/1956,https://live.staticflickr.com/65535/52027800129_18e48006a1_b.jpg,,,,
Felipe Torres Joanna Alejandra,1,felipe-torres-joanna-alejandra,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=132,diputados-federales/LXV-legislatura/felipe-torres-joanna-alejandra.jpg,https://live.staticflickr.com/65535/52019892117_898e51bbbc_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/433_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Dtto. 7,15/septiembre/1984,https://live.staticflickr.com/65535/52027552876_f0988e5dc0_b.jpg,,,,
Galarza Castro Yesenia,1,galarza-castro-yesenia,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=429,diputados-federales/LXV-legislatura/galarza-castro-yesenia.jpg,https://live.staticflickr.com/65535/52020931986_6508abb93c_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/465_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,13,Circ. 4,27/enero/1981,https://live.staticflickr.com/65535/52027592003_2f333a9fac_b.jpg,,,,
Gamboa Torales María Josefina,1,gamboa-torales-maria-josefina,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=283,diputados-federales/LXV-legislatura/gamboa-torales-maria-josefina.jpg,https://live.staticflickr.com/65535/52020932471_990823ebfe_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/452_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,30,Dtto. 12,18/junio/1977,https://live.staticflickr.com/65535/52027591993_fe8af0a6fd_b.jpg,,,,
García García José Antonio,0,garcia-garcia-jose-antonio,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=143,diputados-federales/LXV-legislatura/garcia-garcia-jose-antonio.jpg,https://live.staticflickr.com/65535/52021188154_7c70958c92_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/434_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,11,Dtto. 18,10/noviembre/1979,https://live.staticflickr.com/65535/52026511187_99c93cb0ca_b.jpg,,,,
García Velasco Anabey,1,garcia-velasco-anabey,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=466,diputados-federales/LXV-legislatura/garcia-velasco-anabey.jpg,https://live.staticflickr.com/65535/52019892627_990823ebfe_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/468_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,16,Circ. 5,20/noviembre/1978,https://live.staticflickr.com/65535/52028068640_f97ddd5666_b.jpg,,,,
Garza Treviño Pedro,0,garza-trevino-pedro,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=197,diputados-federales/LXV-legislatura/garza-trevino-pedro.jpg,https://live.staticflickr.com/65535/52019892647_1093185d78_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/457_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,19,Dtto. 11,27/abril/1957,https://live.staticflickr.com/65535/52028066575_3aab4d73f3_b.jpg,,,,
Godínez del Rio Enrique,0,godinez-del-rio-enrique,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=171,diputados-federales/LXV-legislatura/godinez-del-rio-enrique.jpg,https://live.staticflickr.com/65535/52021188204_c3562b93a5_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/409_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,16,Dtto. 5,10/noviembre/1969,https://live.staticflickr.com/65535/52026511082_ddf72218cd_b.jpg,,,,
Gómez Cárdenas Annia Sarahí,1,gomez-cardenas-annia-sarahi,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=192,diputados-federales/LXV-legislatura/gomez-cardenas-annia-sarahi.jpg,https://live.staticflickr.com/65535/52021188219_d9f85d2d19_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/438_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,19,Dtto. 6,6/julio/1983,https://live.staticflickr.com/65535/52027554646_2d7cf01871_b.jpg,,,,
Gómez del Campo Gurza Mariana,1,gomez-del-campo-gurza-mariana,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=423,diputados-federales/LXV-legislatura/gomez-del-campo-gurza-mariana.jpg,https://live.staticflickr.com/65535/52021450430_0485544c07_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/463_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,97,7,Circ. 4,7/agosto/1978,https://live.staticflickr.com/65535/52026510937_4e5ac27800_b.jpg,,,,
González Alonso Carmen Rocío,1,gonzalez-alonso-carmen-rocio,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=36,diputados-federales/LXV-legislatura/gonzalez-alonso-carmen-rocio.jpg,https://live.staticflickr.com/65535/52019892682_6c9a812abe_c.jpg,http://sitl.diputados.gob.mx/LXV_leg/fotos_lxvconfondo/417_foto_chica.jpg,1,LXV Legislatura,1 Septiembre 2021 - 31 Agosto de 2024,0,6,Dtto. 8,14/julio/1981,https://live.staticflickr.com/65535/52027554561_92f145f7ac_b.jpg,,,,
